Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
"FritidshusFFritidshus Smedestræde 16, Hummingen  4983 Dannemare",995.000 kr.,21-10-2025Alm. Salg,76 m² 13.092 kr/m²,4,1974,,Aktuel værdi
FritidshusFFritidshus Børsmosevej 4  6840 Oksbøl,1.015.200 kr.,21-10-2025Fam. Salg,44 m² 23.073 kr/m²,3,1936,,Aktuel værdi
RækkehusRRækkehus Melhøj Park 10  3210 Vejby,1.200.000 kr.,21-10-2025Alm. Salg,123 m² 9.756 kr/m²,4,1980,-7%,Aktuel værdi
VillaVVilla Las Poulsens Vej 29  9000 Aalborg,5.375.000 kr.,21-10-2025Alm. Salg,214 m² 25.117 kr/m²,7,1960,,Aktuel værdi
VillaVVilla Gammel Viborgvej 3  8381 Tilst,2.700.000 kr.,21-10-2025Alm. Salg,105 m² 25.714 kr/m²,4,1939,-4%,Aktuel værdi
RækkehusRRækkehus Vikkevangen 8  2700 Brønshøj,8.800.000 kr.,21-10-2025Alm. Salg,119 m² 73.950 kr/m²,5,1930,4%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Linnésgade 22D, 3. tv  1361 København K",6.350.000 kr.,21-10-2025Alm. Salg,75 m² 84.667 kr/m²,3,1885,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Ved Vænget 1, st. tv  2100 København Ø",4.200.000 kr.,21-10-2025Alm. Salg,57 m² 73.684 kr/m²,2,1902,,Aktuel værdi
VillaVVilla Bernhard Olsens Vej 27  2830 Virum,4.000.000 kr.,21-10-2025Alm. Salg,145 m² 27.586 kr/m²,6,1939,,Aktuel værdi
VillaVVilla Anemonevej 2  6950 Ringkøbing,1.500.000 kr.,21-10-2025Alm. Salg,162 m² 9.259 kr/m²,6,1964,-19%,Aktuel værdi
"LandejendomLLandejendom Ryttervej 18, Lille Heddinge  4673 Rødvig Stevns",3.350.000 kr.,21-10-2025Alm. Salg,238 m² 14.076 kr/m²,7,1917,-7%,Aktuel værdi
RækkehusRRækkehus Boelsvej 15  4750 Lundby,10.400.000 kr.,21-10-2025Andet,86 m² 120.930 kr/m²,3,2020,,Aktuel værdi
VillaVVilla Farverløkke 47  6310 Broager,1.295.000 kr.,21-10-2025Alm. Salg,137 m² 9.453 kr/m²,4,1977,,Aktuel værdi
"VillaVVilla Stationsvej 45, Biersted  9440 Aabybro",1.050.000 kr.,21-10-2025Alm. Salg,136 m² 7.721 kr/m²,4,1918,-12%,Aktuel værdi
"FritidshusFFritidshus Ligustervej 8, Kyndeløse  4070 Kirke Hyllinge",835.000 kr.,21-10-2025Alm. Salg,44 m² 18.977 kr/m²,3,1971,-1%,Aktuel værdi
"VillaVVilla Vedskøllevej 21, Magleby  4230 Skælskør",1.367.500 kr.,21-10-2025Alm. Salg,247 m² 5.536 kr/m²,7,1880,-2%,Aktuel værdi
"VillaVVilla Bygaden 9, Høve  4261 Dalmose",350.000 kr.,21-10-2025Andet,119 m² 2.941 kr/m²,4,1880,,Aktuel værdi
"VillaVVilla Lillevorde Kær 2E, Gudumholm  9280 Storvorde",2.500.000 kr.,21-10-2025Alm. Salg,163 m² 15.337 kr/m²,5,2007,,Aktuel værdi
VillaVVilla Rødamsvej 59  5856 Ryslinge,705.000 kr.,21-10-2025Alm. Salg,110 m² 6.409 kr/m²,3,1950,-3%,Aktuel værdi
VillaVVilla Vantorevej 73  4880 Nysted,50.000 kr.,21-10-2025Andet,118 m² 424 kr/m²,4,1865,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Godthåbsvej 135, 4. th  2000 Frederiksberg",6.550.000 kr.,21-10-2025Alm. Salg,98 m² 66.837 kr/m²,4,1934,-2%,Aktuel værdi
FritidshusFFritidshus Garderhøjen 17  4671 Strøby,1.650.000 kr.,21-10-2025Alm. Salg,69 m² 23.913 kr/m²,3,1981,5%,Aktuel værdi
"VillaVVilla Katrinevej 20, Gimlinge  4200 Slagelse",1.150.000 kr.,21-10-2025Alm. Salg,133 m² 8.647 kr/m²,5,1938,,Aktuel værdi
"VillaVVilla Vesterled 13, Taulov  7000 Fredericia",1.335.000 kr.,21-10-2025Alm. Salg,145 m² 9.207 kr/m²,3,1966,-4%,Aktuel værdi
"FritidshusFFritidshus Ildervej 5, Mikkelmark  9370 Hals",655.000 kr.,21-10-2025Alm. Salg,60 m² 10.917 kr/m²,4,1980,-6%,Aktuel værdi
FritidshusFFritidshus Jagtvej 3A  9940 Læsø,1.595.000 kr.,21-10-2025Alm. Salg,60 m² 26.583 kr/m²,3,2020,,Aktuel værdi
FritidshusFFritidshus Bygvangen 13  3310 Ølsted,1.650.000 kr.,21-10-2025Alm. Salg,87 m² 18.966 kr/m²,3,1974,-8%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Terslev Bygade 21, st. 1  4690 Haslev",4.000.000 kr.,21-10-2025Alm. Salg,27 m² 148.148 kr/m²,1,1972,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Høkervej 5F, st. 112  9492 Blokhus",1.450.000 kr.,21-10-2025Alm. Salg,60 m² 24.167 kr/m²,2,1975,-6%,Aktuel værdi
"FritidshusFFritidshus Grønningen 2, Hvidbjerg  7080 Børkop",2.450.000 kr.,21-10-2025Alm. Salg,70 m² 35.000 kr/m²,4,2001,,Aktuel værdi
VillaVVilla Benediktevej 4  9320 Hjallerup,995.000 kr.,21-10-2025Alm. Salg,124 m² 8.024 kr/m²,5,1968,,Aktuel værdi
VillaVVilla Sletten 2  4652 Hårlev,1.995.000 kr.,21-10-2025Alm. Salg,183 m² 10.902 kr/m²,4,1970,-5%,Aktuel værdi
FritidshusFFritidshus Bodil Ipsensvej 22  3370 Melby,2.495.000 kr.,21-10-2025Alm. Salg,116 m² 21.509 kr/m²,4,2005,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Tagensvej 56, 2. th  2200 København N",2.992.000 kr.,21-10-2025Fam. Salg,68 m² 44.000 kr/m²,3,1933,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Ålandsgade 28, st. mf  2300 København S",3.120.000 kr.,21-10-2025Alm. Salg,53 m² 58.868 kr/m²,2,1940,-1%,Aktuel værdi
VillaVVilla Ermelundsvej 118  2820 Gentofte,16.750.000 kr.,21-10-2025Alm. Salg,260 m² 64.423 kr/m²,6,2024,-1%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Smakkegårdsvej 205, st. tv  2820 Gentofte",3.850.000 kr.,21-10-2025Alm. Salg,104 m² 37.019 kr/m²,4,1946,3%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Terslev Bygade 21, st. 2  4690 Haslev",4.000.000 kr.,21-10-2025Alm. Salg,27 m² 148.148 kr/m²,1,1972,,Aktuel værdi
VillaVVilla Reinholdts Bakke 42  6640 Lunderskov,900.000 kr.,21-10-2025Fam. Salg,85 m² 10.588 kr/m²,3,1952,,Aktuel værdi
"VillaVVilla Maderupvej 124, Hemmerslev  5471 Søndersø",2.800.000 kr.,21-10-2025Alm. Salg,120 m² 23.333 kr/m²,7,1951,-7%,Aktuel værdi
"FritidshusFFritidshus Mosevej 2, Havnsø  4591 Føllenslev",1.800.000 kr.,21-10-2025Alm. Salg,72 m² 25.000 kr/m²,3,2020,-8%,Aktuel værdi
"VillaVVilla Djeldvej 49, Djeld  7830 Vinderup",25.000 kr.,21-10-2025Alm. Salg,194 m² 129 kr/m²,6,1887,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Terslev Bygade 21, 1. 4  4690 Haslev",4.000.000 kr.,21-10-2025Alm. Salg,17 m² 235.294 kr/m²,1,1972,,Aktuel værdi
"FritidshusFFritidshus Møllevangen 40, Jegum  6840 Oksbøl",1.285.000 kr.,21-10-2025Alm. Salg,75 m² 17.133 kr/m²,4,1993,-1%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Klaksvigsgade 3, 6. tv  2300 København S",6.300.000 kr.,21-10-2025Alm. Salg,79 m² 79.747 kr/m²,2,2006,,Aktuel værdi
"VillaVVilla Kernevej 11, Højmark  6940 Lem St",560.000 kr.,21-10-2025Alm. Salg,217 m² 2.581 kr/m²,8,1976,-14%,Aktuel værdi
VillaVVilla Tureby Alle 27A  2650 Hvidovre,7.900.000 kr.,21-10-2025Alm. Salg,115 m² 68.696 kr/m²,4,1937,-1%,Aktuel værdi
VillaVVilla Thorsvej 1  9800 Hjørring,1.250.000 kr.,21-10-2025Fam. Salg,88 m² 14.205 kr/m²,3,1956,,Aktuel værdi
VillaVVilla Svinget 13  7200 Grindsted,1.150.000 kr.,21-10-2025Alm. Salg,90 m² 12.778 kr/m²,3,1952,-6%,Aktuel værdi
VillaVVilla Skrænten 1  9520 Skørping,1.575.000 kr.,21-10-2025Alm. Salg,124 m² 12.702 kr/m²,4,1965,-7%,Aktuel værdi
"FritidshusFFritidshus Sommervangen 4, Faarup Klit  9493 Saltum",2.250.000 kr.,21-10-2025Alm. Salg,86 m² 26.163 kr/m²,4,1972,-2%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Thunøgade 14A, kl.  8000 Aarhus C",2.000.000 kr.,21-10-2025Alm. Salg,104 m² 19.231 kr/m²,4,1897,,Aktuel værdi
RækkehusRRækkehus Nordmarken 6  4652 Hårlev,2.285.000 kr.,21-10-2025Alm. Salg,110 m² 20.773 kr/m²,4,2007,0%,Aktuel værdi
RækkehusRRækkehus Boelsvej 19  4750 Lundby,10.400.000 kr.,21-10-2025Andet,99 m² 105.051 kr/m²,4,2020,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Ribevej 7A, 1. th  6800 Varde",6.400.000 kr.,21-10-2025Alm. Salg,97 m² 65.979 kr/m²,3,1945,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Moldaugade 10, 4. tv  2300 København S",2.190.000 kr.,21-10-2025Fam. Salg,53 m² 41.321 kr/m²,2,1940,,Aktuel værdi
"FritidshusFFritidshus Helmklit 317, Nr Fjand  6990 Ulfborg",1.000.000 kr.,21-10-2025Alm. Salg,114 m² 8.772 kr/m²,6,1977,,Aktuel værdi
"VillaVVilla Broksøvej 4, Spragelse  4160 Herlufmagle",1.750.000 kr.,21-10-2025Alm. Salg,146 m² 11.986 kr/m²,9,1946,-3%,Aktuel værdi
"VillaVVilla Kystvej 39A, Egense  9280 Storvorde",250.000 kr.,21-10-2025Alm. Salg,129 m² 1.938 kr/m²,5,1910,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Samsøgade 94, 3.  8000 Aarhus C",2.478.000 kr.,20-10-2025Alm. Salg,59 m² 42.000 kr/m²,2,1897,-1%,Aktuel værdi
VillaVVilla Kærløbervej 62  9900 Frederikshavn,1.440.000 kr.,20-10-2025Alm. Salg,108 m² 13.333 kr/m²,4,2013,-10%,Aktuel værdi
"FritidshusFFritidshus Doktorvejen 19, Byrum  9940 Læsø",797.600 kr.,20-10-2025Fam. Salg,103 m² 7.744 kr/m²,5,1971,,Aktuel værdi
"VillaVVilla Parkvænget 40, Årslev  5792 Årslev",3.175.000 kr.,20-10-2025Alm. Salg,156 m² 20.353 kr/m²,7,1984,-6%,Aktuel værdi
"VillaVVilla Erslevvej 27, Galten  8370 Hadsten",1.250.000 kr.,20-10-2025Alm. Salg,128 m² 9.766 kr/m²,4,1917,-3%,Aktuel værdi
"FritidshusFFritidshus Rønnebærvej 5, Thorsager  8410 Rønde",370.000 kr.,20-10-2025Alm. Salg,28 m² 13.214 kr/m²,1,1970,-12%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Ole Jørgensens Gade 8, st. tv  2200 København N",3.300.000 kr.,20-10-2025Alm. Salg,55 m² 60.000 kr/m²,2,1901,-1%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Filosofgangen 23, st. th  5000 Odense C",7.400.000 kr.,20-10-2025Fam. Salg,151 m² 49.007 kr/m²,4,1913,,Aktuel værdi
VillaVVilla Syvhøjvænge 8  2625 Vallensbæk,4.748.000 kr.,20-10-2025Alm. Salg,154 m² 30.831 kr/m²,5,1970,,Aktuel værdi
"VillaVVilla Lunden 67, Bullerup  5320 Agedrup",2.200.000 kr.,20-10-2025Alm. Salg,142 m² 15.493 kr/m²,3,1962,-4%,Aktuel værdi
"VillaVVilla Sorgenfri 12, 2.  6100 Haderslev",200.000 kr.,20-10-2025Alm. Salg,41 m² 4.878 kr/m²,2,1944,,Aktuel værdi
"FritidshusFFritidshus Julianesvej 7, Grønhøj  9480 Løkken",2.350.000 kr.,20-10-2025Alm. Salg,45 m² 52.222 kr/m²,4,1959,,Aktuel værdi
"VillaVVilla Hvedemarken 12, Rinkenæs  6300 Gråsten",1.495.000 kr.,20-10-2025Alm. Salg,130 m² 11.500 kr/m²,5,1986,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Martin Luther Kings Vej 23, st. th  2450 København SV",8.800.000 kr.,20-10-2025Alm. Salg,137 m² 64.234 kr/m²,5,2017,-2%,Aktuel værdi
FritidshusFFritidshus Kongeleddet 12  4581 Rørvig,4.350.000 kr.,20-10-2025Alm. Salg,115 m² 37.826 kr/m²,5,2023,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Eskeager 7, 1. th  2870 Dyssegård",3.713.000 kr.,20-10-2025Alm. Salg,84 m² 44.202 kr/m²,4,1946,13%,Aktuel værdi
VillaVVilla Kobbelvænget 9  4780 Stege,1.995.000 kr.,20-10-2025Alm. Salg,107 m² 18.645 kr/m²,3,1953,5%,Aktuel værdi
"VillaVVilla Munkebovej 9, Blenstrup  8983 Gjerlev J",540.000 kr.,20-10-2025Fam. Salg,124 m² 4.355 kr/m²,4,1900,,Aktuel værdi
"LandejendomLLandejendom Frifeltvej 118, Håstrup  7000 Fredericia",2.450.000 kr.,20-10-2025Alm. Salg,128 m² 19.141 kr/m²,7,1912,,Aktuel værdi
VillaVVilla Davids Alle 44B  9000 Aalborg,2.300.000 kr.,20-10-2025Alm. Salg,94 m² 24.468 kr/m²,4,1982,-8%,Aktuel værdi
RækkehusRRækkehus Snogekær 44U  3630 Jægerspris,3.003.000 kr.,20-10-2025Alm. Salg,120 m² 25.025 kr/m²,3,2015,,Aktuel værdi
VillaVVilla Hovedgaden 4  4920 Søllested,130.000 kr.,20-10-2025Alm. Salg,118 m² 1.102 kr/m²,4,1877,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Algade 43, 1.  9300 Sæby",1.725.000 kr.,20-10-2025Alm. Salg,72 m² 23.958 kr/m²,2,1949,,Aktuel værdi
"FritidshusFFritidshus Fuglevej 5, Kildekrog  3100 Hornbæk",4.800.000 kr.,20-10-2025Alm. Salg,104 m² 46.154 kr/m²,4,1962,-4%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Brøndbyvestervej 66C, st. 3  2605 Brøndby",1.400.000 kr.,20-10-2025Fam. Salg,46 m² 30.435 kr/m²,1,1967,,Aktuel værdi
"VillaVVilla Skovbyvej 85, Skovby  6470 Sydals",209.000 kr.,20-10-2025Alm. Salg,137 m² 1.526 kr/m²,4,1860,,Aktuel værdi
VillaVVilla Uglevej 1  2680 Solrød Strand,8.780.000 kr.,20-10-2025Alm. Salg,232 m² 37.845 kr/m²,6,2016,-2%,Aktuel værdi
VillaVVilla Nørregade 21  9240 Nibe,1.250.000 kr.,20-10-2025Alm. Salg,212 m² 5.896 kr/m²,6,1900,-10%,Aktuel værdi
"FritidshusFFritidshus Hellevej 3, Kaldred  4593 Eskebjerg",935.000 kr.,20-10-2025Alm. Salg,102 m² 9.167 kr/m²,5,1971,-6%,Aktuel værdi
RækkehusRRækkehus Rosenfeldt 68  3600 Frederikssund,1.427.200 kr.,20-10-2025Fam. Salg,78 m² 18.297 kr/m²,3,1987,,Aktuel værdi
"VillaVVilla Sorgenfri 12, st. th  6100 Haderslev",200.000 kr.,20-10-2025Alm. Salg,51 m² 3.922 kr/m²,1,1944,,Aktuel værdi
"LandejendomLLandejendom Strandbyvej 4, Strandby  5953 Tranekær",850.000 kr.,20-10-2025Alm. Salg,191 m² 4.450 kr/m²,8,1727,,Aktuel værdi
"VillaVVilla Skradekær 6, Ballerum  7700 Thisted",800.000 kr.,20-10-2025Fam. Salg,169 m² 4.734 kr/m²,6,1877,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Ceresbyen 46, st. 3  8000 Aarhus C",4.473.000 kr.,20-10-2025Alm. Salg,115 m² 38.896 kr/m²,3,2018,-1%,Aktuel værdi
RækkehusRRækkehus Fjordgade 15  9670 Løgstør,490.000 kr.,20-10-2025Alm. Salg,110 m² 4.455 kr/m²,3,1877,-18%,Aktuel værdi
"VillaVVilla Sortbærvej 56B, Sejs-Svejbæk  8600 Silkeborg",20.800.000 kr.,20-10-2025Alm. Salg,127 m² 163.780 kr/m²,4,2014,,Aktuel værdi
VillaVVilla Skovhusevej 12  4773 Stensved,1.400.000 kr.,20-10-2025Alm. Salg,132 m² 10.606 kr/m²,4,1948,-3%,Aktuel værdi
"VillaVVilla Vollerupgade 33, Vollerup  4792 Askeby",1.100.000 kr.,20-10-2025Alm. Salg,125 m² 8.800 kr/m²,3,1850,,Aktuel værdi
EjerlejlighedEEjerlejlighed Løvparken 8G  4000 Roskilde,2.325.000 kr.,20-10-2025Alm. Salg,73 m² 31.849 kr/m²,2,1974,,Aktuel værdi
"FritidshusFFritidshus Banken 5, Spodsbj Drej  5900 Rudkøbing",2.150.000 kr.,20-10-2025Alm. Salg,64 m² 33.594 kr/m²,4,1981,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Dybendalsvej 67, 1. mf  2720 Vanløse",2.750.000 kr.,20-10-2025Alm. Salg,51 m² 53.922 kr/m²,2,1957,-2%,Aktuel værdi
VillaVVilla Faksinge By 5  4720 Præstø,1.275.000 kr.,20-10-2025Alm. Salg,130 m² 9.808 kr/m²,3,1877,-7%,Aktuel værdi
VillaVVilla Paghs Alle 46  7400 Herning,1.320.000 kr.,20-10-2025Alm. Salg,64 m² 20.625 kr/m²,1,1944,,Aktuel værdi
VillaVVilla Skovgårdsvej 21  3460 Birkerød,8.020.000 kr.,20-10-2025Alm. Salg,140 m² 57.286 kr/m²,5,1960,0%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Vigerslevvej 326, 2. th  2500 Valby",2.700.000 kr.,20-10-2025Alm. Salg,58 m² 46.552 kr/m²,3,1948,-3%,Aktuel værdi
"VillaVVilla Buegade 9, Nustrup  6500 Vojens",75.000 kr.,20-10-2025Alm. Salg,123 m² 610 kr/m²,4,1933,,Aktuel værdi
"VillaVVilla Veddelev Engvej 4, Veddelev  4000 Roskilde",15.500.000 kr.,20-10-2025Alm. Salg,171 m² 90.643 kr/m²,5,1987,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Filosofgangen 23, st. tv  5000 Odense C",7.400.000 kr.,20-10-2025Fam. Salg,95 m² 77.895 kr/m²,4,1913,,Aktuel værdi
RækkehusRRækkehus Skt. Knuds Gade 62  5000 Odense C,4.500.000 kr.,20-10-2025Alm. Salg,114 m² 39.474 kr/m²,5,1887,,Aktuel værdi
VillaVVilla Rugskellet 16  9640 Farsø,1.060.000 kr.,20-10-2025Alm. Salg,101 m² 10.495 kr/m²,4,1964,-11%,Aktuel værdi
"FritidshusFFritidshus Stampen Vej 5 11, Rønne  3700 Rønne",1.371.000 kr.,20-10-2025Alm. Salg,38 m² 36.079 kr/m²,3,1955,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Filosofgangen 23, 3. tv  5000 Odense C",7.400.000 kr.,20-10-2025Fam. Salg,75 m² 98.667 kr/m²,3,1913,,Aktuel værdi
"VillaVVilla Lappestensvej 12, Højstrup  3000 Helsingør",3.500.000 kr.,20-10-2025Alm. Salg,57 m² 61.404 kr/m²,3,1967,-5%,Aktuel værdi
VillaVVilla Drejervej 7  6740 Bramming,1.125.000 kr.,20-10-2025Alm. Salg,145 m² 7.759 kr/m²,5,1975,-6%,Aktuel værdi
FritidshusFFritidshus Søren Gades Mark 21A  6857 Blåvand,5.600.000 kr.,20-10-2025Alm. Salg,186 m² 30.108 kr/m²,4,2021,,Aktuel værdi
VillaVVilla Syrenvænget 5  4270 Høng,1.600.000 kr.,20-10-2025Fam. Salg,96 m² 16.667 kr/m²,3,1964,,Aktuel værdi
"VillaVVilla Gårsdalvej 13, Ravnstrup  8800 Viborg",400.000 kr.,20-10-2025Alm. Salg,83 m² 4.819 kr/m²,3,1963,-19%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Steen Blichers Gade 21A, 3. th  8900 Randers C",583.800 kr.,20-10-2025Alm. Salg,60 m² 9.730 kr/m²,2,1913,7%,Aktuel værdi
"FritidshusFFritidshus Havstien 33, Rindby Strand  6720 Fanø",1.863.000 kr.,20-10-2025Fam. Salg,58 m² 32.121 kr/m²,3,1957,,Aktuel værdi
FritidshusFFritidshus Heldager 3  3210 Vejby,5.500.000 kr.,20-10-2025Alm. Salg,232 m² 23.707 kr/m²,8,1979,-15%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Tuborg Havnepark 25, 1. th  2900 Hellerup",19.516.000 kr.,20-10-2025Fam. Salg,185 m² 105.492 kr/m²,5,2022,,Aktuel værdi
"FritidshusFFritidshus Knudehus 29, Råsted  7570 Vemb",1.900.000 kr.,20-10-2025Alm. Salg,80 m² 23.750 kr/m²,3,2025,-5%,Aktuel værdi
"LandejendomLLandejendom Ørslevklostervej 97, Hald  7840 Højslev",580.000 kr.,20-10-2025Alm. Salg,118 m² 4.915 kr/m²,5,1940,-17%,Aktuel værdi
VillaVVilla Hermansensvej 1  4700 Næstved,1.395.000 kr.,20-10-2025Alm. Salg,99 m² 14.091 kr/m²,3,1899,-7%,Aktuel værdi
FritidshusFFritidshus Storkevej 1  4220 Korsør,810.000 kr.,20-10-2025Alm. Salg,54 m² 15.000 kr/m²,4,1967,-2%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Krogerupgade 49, 1. th  2200 København N",4.700.000 kr.,20-10-2025Alm. Salg,53 m² 88.679 kr/m²,2,1935,,Aktuel værdi
"FritidshusFFritidshus Lærkevej 5, Ejsingholm  7830 Vinderup",486.000 kr.,20-10-2025Fam. Salg,86 m² 5.651 kr/m²,4,1972,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Helligkorsvej 40, 2. tv  4000 Roskilde",1.499.000 kr.,20-10-2025Alm. Salg,39 m² 38.436 kr/m²,2,1938,,Aktuel værdi
"VillaVVilla Nygårdsvej 1, Vinding  8654 Bryrup",798.000 kr.,20-10-2025Alm. Salg,139 m² 5.741 kr/m²,4,1980,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Sølvgade 19, 4. mf  1307 København K",4.395.000 kr.,20-10-2025Alm. Salg,49 m² 89.694 kr/m²,2,1806,,Aktuel værdi
"VillaVVilla Langgade 27, Donslund  7250 Hejnsvig",730.000 kr.,20-10-2025Alm. Salg,181 m² 4.033 kr/m²,6,1964,-3%,Aktuel værdi
"FritidshusFFritidshus Hyllingeriis 108, Østby  4050 Skibby",1.490.000 kr.,20-10-2025Alm. Salg,85 m² 17.529 kr/m²,4,2025,-7%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Lervangen 39, st. th  8930 Randers NØ",580.000 kr.,20-10-2025Alm. Salg,64 m² 9.063 kr/m²,3,1953,-3%,Aktuel værdi
"FritidshusFFritidshus Industrivej 1, Tejn  3770 Allinge",1.405.000 kr.,20-10-2025Alm. Salg,54 m² 26.019 kr/m²,4,1979,-6%,Aktuel værdi
RækkehusRRækkehus Mallings Gård 16  4230 Skælskør,1.395.000 kr.,20-10-2025Alm. Salg,88 m² 15.852 kr/m²,3,1999,,Aktuel værdi
"VillaVVilla Eskildsvej 1, Niverød  2990 Nivå",3.425.000 kr.,20-10-2025Alm. Salg,106 m² 32.311 kr/m²,4,1967,-2%,Aktuel værdi
RækkehusRRækkehus Gertrud Rasks Vej 114  9210 Aalborg SØ,2.150.000 kr.,20-10-2025Alm. Salg,97 m² 22.165 kr/m²,4,1965,-2%,Aktuel værdi
"VillaVVilla Smedelodden 8, Havrebjerg  4200 Slagelse",1.325.000 kr.,20-10-2025Alm. Salg,117 m² 11.325 kr/m²,4,1969,-4%,Aktuel værdi
VillaVVilla Østersøvej 74  4872 Idestrup,395.000 kr.,20-10-2025Alm. Salg,88 m² 4.489 kr/m²,3,1917,,Aktuel værdi
VillaVVilla Simmerstedvej 125  6100 Haderslev,800.000 kr.,20-10-2025Alm. Salg,115 m² 6.957 kr/m²,4,1959,,Aktuel værdi
VillaVVilla Åvej 6  7451 Sunds,1.000.000 kr.,20-10-2025Alm. Salg,118 m² 8.475 kr/m²,5,1968,-13%,Aktuel værdi
VillaVVilla Jeppe Åkjærs Vej 17  8400 Ebeltoft,3.720.000 kr.,20-10-2025Alm. Salg,300 m² 12.400 kr/m²,7,1973,-7%,Aktuel værdi
VillaVVilla Hemmingsvej 40  4653 Karise,1.151.200 kr.,20-10-2025Fam. Salg,111 m² 10.371 kr/m²,4,1973,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Jydeholmen 51A, 2.  2720 Vanløse",3.650.000 kr.,20-10-2025Alm. Salg,82 m² 44.512 kr/m²,3,1930,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Gasværksvej 13, 2. tv  1656 København V",7.140.000 kr.,20-10-2025Alm. Salg,89 m² 80.225 kr/m²,3,2002,-2%,Aktuel værdi
"FritidshusFFritidshus Vestskoven 27, Arrild  6520 Toftlund",1.725.000 kr.,20-10-2025Alm. Salg,146 m² 11.815 kr/m²,5,2007,-4%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Aksel Møllers Have 6, 8. th  2000 Frederiksberg",7.500.000 kr.,20-10-2025Alm. Salg,95 m² 78.947 kr/m²,4,1944,-1%,Aktuel værdi
"VillaVVilla Pederstrupvej 4, Pederstrup  4700 Næstved",1.800.000 kr.,20-10-2025Alm. Salg,168 m² 10.714 kr/m²,5,1919,-9%,Aktuel værdi
VillaVVilla Ringerbakken 8  3300 Frederiksværk,3.600.000 kr.,20-10-2025Alm. Salg,172 m² 20.930 kr/m²,7,1950,-10%,Aktuel værdi
"VillaVVilla Jelsvej 8, Østermarken  6630 Rødding",2.400.000 kr.,20-10-2025Alm. Salg,288 m² 8.333 kr/m²,9,1875,-4%,Aktuel værdi
"VillaVVilla Banevænget 52, Kollemorten  7323 Give",450.000 kr.,20-10-2025Alm. Salg,126 m² 3.571 kr/m²,4,1950,-9%,Aktuel værdi
"VillaVVilla Kirkegade 19, Bramming  6740 Bramming",2.125.000 kr.,20-10-2025Alm. Salg,126 m² 16.865 kr/m²,3,1963,-11%,Aktuel værdi
"FritidshusFFritidshus Fridavej 30, Gjerrild  8500 Grenaa",1.485.000 kr.,20-10-2025Alm. Salg,84 m² 17.679 kr/m²,4,1997,-4%,Aktuel værdi
"EjerlejlighedEEjerlejlighed Lægårdvej 11, 1. th  7500 Holstebro",1.720.000 kr.,20-10-2025Alm. Salg,26 m² 66.154 kr/m²,1,1919,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Krøyer Kielbergs Vej 7B, 2. th  8660 Skanderborg",1.545.000 kr.,20-10-2025Alm. Salg,74 m² 20.878 kr/m²,2,1945,,Aktuel værdi
"VillaVVilla Spurvevænget 6, Snestrup  5210 Odense NV",2.250.000 kr.,20-10-2025Alm. Salg,133 m² 16.917 kr/m²,4,1969,-2%,Aktuel værdi
"FritidshusFFritidshus Strandlystgårdsvej 34, Yderby Lyng  4583 Sjællands Odde",1.995.000 kr.,20-10-2025Alm. Salg,45 m² 44.333 kr/m²,3,1975,,Aktuel værdi
"EjerlejlighedEEjerlejlighed Boholtevej 53, 2. tv  4600 Køge",1.820.000 kr.,20-10-2025Alm. Salg,66 m² 27.576 kr/m²,2,1966,-1%,Aktuel værdi
